surrogate_key,emmi_cd,specialty_cd,active,create_dt,last_chng_dt
183,193,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
184,193,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
185,659,10,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
186,43,13,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
187,106,13,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
188,60,37,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
189,117,11,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
190,117,13,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
191,103,13,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
192,603,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
193,603,33,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
194,343,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
195,343,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
196,343,30,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
197,452,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
198,452,33,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
199,344,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
200,344,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
201,606,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
202,606,33,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
203,710,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
204,710,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
205,710,25,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
206,710,28,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
207,345,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
208,345,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
209,345,25,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
210,345,28,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
211,430,25,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
212,430,28,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
213,90,28,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
214,114,7,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
215,114,22,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
216,91,7,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
217,91,22,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
218,346,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
219,346,7,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
220,346,8,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
221,346,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
222,192,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
223,192,24,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
224,190,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
225,190,24,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
226,191,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
227,191,24,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
228,175,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
229,175,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
230,175,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
231,660,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
232,286,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
233,286,38,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
234,265,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
235,264,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
236,726,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
237,661,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
238,77,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
239,77,24,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
240,287,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
241,287,38,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
242,173,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
243,173,34,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
244,174,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
245,174,34,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
246,347,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
247,662,19,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
248,662,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
249,282,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
250,494,5,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
251,494,6,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
252,494,9,false,"2013-01-07 13:31:21.763","2015-01-28 16:09:02.820"
253,270,5,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
254,270,6,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
255,269,5,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
256,269,6,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
257,67,7,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
258,67,8,false,"2013-01-07 13:31:21.763","2015-01-28 16:09:02.820"
259,348,7,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
260,66,20,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
261,295,20,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
262,268,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
263,517,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
264,486,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
265,502,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
266,453,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
267,453,16,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
268,453,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
269,453,30,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
270,728,25,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
271,349,20,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
272,349,25,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
273,350,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
274,350,19,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
275,350,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
276,350,25,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
277,351,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
278,351,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
279,351,25,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
280,598,5,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
281,598,11,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
282,599,5,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
283,599,11,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
284,600,6,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
285,258,11,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
286,352,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
287,352,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
288,352,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
289,353,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
290,353,19,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
291,353,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
292,353,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
293,49,33,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
294,23,16,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
295,23,37,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
296,354,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
297,354,16,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
298,354,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
299,354,37,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
300,607,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
301,607,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
302,607,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
303,314,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
304,314,7,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
305,314,8,false,"2013-01-07 13:31:21.763","2015-01-28 16:09:02.820"
306,314,10,false,"2013-01-07 13:31:21.763","2015-01-28 16:09:02.820"
307,314,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
308,96,28,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
309,663,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
310,663,27,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
311,663,33,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
312,207,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
313,207,27,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
314,207,33,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
315,431,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
316,431,27,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
317,355,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
318,355,16,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
319,355,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
320,746,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
321,746,17,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
322,747,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
323,747,13,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
324,747,17,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
325,748,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
326,748,13,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
327,748,17,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
328,493,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
329,664,17,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
330,538,17,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
331,537,17,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
332,539,17,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
333,540,17,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
334,65,16,false,"2013-01-07 13:31:21.763","2015-01-28 16:09:02.820"
335,65,37,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
336,41,16,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
337,259,16,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
338,604,16,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
339,321,16,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
340,321,37,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
341,498,11,false,"2013-01-07 13:31:21.763","2015-01-28 16:09:02.820"
342,498,33,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
343,608,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
344,608,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
345,608,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
346,608,25,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
347,356,9,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
348,356,19,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
349,432,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
